what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833015882
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833016960
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833017282
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1279833018158
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1279833018320
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1279833018354
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1279833018368
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833019431
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1279833019472
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1279833019478
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1279833022476
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1279833022500
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1279833022607
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1279833022634
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1279833022697
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1279833023079
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1279833023242
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1279833023279
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1279833023301
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1279833023537
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833039867
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833043965
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1279833043998
activated,perspective,org.eclipse.team.svn.ui,0.7.9.I20100512-1900,"org.eclipse.team.svn.ui.repository.RepositoryPerspective",1279833048480
activated,view,org.eclipse.team.svn.ui,0.7.9.I20100512-1900,"org.eclipse.team.svn.ui.repository.RepositoriesView",1279833048489
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833072951
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833081253
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833081566
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833106228
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1279833109097
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1279833109111
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833119865
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833122141
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1279833122176
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833122496
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833124047
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1279833128334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833132139
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279833139308
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide.configureFilters",1279833139342
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1279833142682
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1279833158233
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1279833158576
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1279833158592
